CODIGO;CODIGO2;UBICACIÓN;FECHA;ORIGEN;CODCLI2;TAREAS
55555;55555,Entregar Gonzalo (asignar tarea a vendedor);"Marcador 16
2024/10/17 @ 11:30:19
http://maps.google.com/?q=-34.78035792680237,-55.83492316800508";26/10/2024;agregados_adrian;55555;55555
81159;81159,KIOSCO PASO Y QUIERO, Visitar (supervisado Ricardo, trabaja con Gonzalo) (SALINAS);"Marcador 17
2024/10/17 @ 11:32:39
http://maps.google.com/?q=-34.77984368476385,-55.8379439637065";26/10/2024;agregados_adrian;81159;81159
822105;822105, MINIMARKET EL CHIQUI;"Marcador 18
2024/10/17 @ 11:37:45
http://maps.google.com/?q=-34.75890699100888,-55.773179680109024";26/10/2024;agregados_adrian;822105;822105
81013;81013, Almacén Cricar  (salinas Norte ). Visita periodica;"Marcador 19
2024/10/17 @ 11:52:53
http://maps.google.com/?q=-34.7752097517953,-55.842986181378365";26/10/2024;agregados_adrian;81013;81013
12800;12800,PITA Ruta 87;"Marcador 20
2024/10/17 @ 12:05:59
http://maps.google.com/?q=-34.76647270000157,-55.84303880000246";26/10/2024;agregados_adrian;12800;12800
44444;44444,Preparar Pedido Forto;"Marcador 21
2024/10/17 @ 12:10:22
http://maps.google.com/?q=-34.774629768959244,-55.8466175571084";26/10/2024;agregados_adrian;44444;44444
80297;80297,FLAVIA GONZALEZ;"Marcador 22
2024/10/17 @ 12:12:07
http://maps.google.com/?q=-34.77601610292458,-55.84819469600916";26/10/2024;agregados_adrian;80297;80297
82206;82206,KIOSCO HOMERO,FLAVIA GONZALEZ;"Marcador 22
2024/10/17 @ 12:12:07
http://maps.google.com/?q=-34.77601610292458,-55.84819469600916";26/10/2024;agregados_adrian;80297;80297
85015;85015, KIOSKO TOCOTOCO, (Salinas Norte) Visita;"Marcador 23
2024/10/17 @ 12:13:21
http://maps.google.com/?q=-34.77071739457929,-55.83442457020283";26/10/2024;agregados_adrian;85015;85015
62008;62008,HENDERSON;"Marcador 24
2024/10/17 @ 12:14:29
http://maps.google.com/?q=-34.76820341852503,-55.76817702502012";26/10/2024;agregados_adrian;62008;62008
81240;"**_NOMBRE_**; ...81240, Auto Bumi Marindia.;:";"Marcador 25
2024/10/17 @ 12:15:50
http://maps.google.com/?q=-34.77206523758475,-55.821656584739685";26/10/2024;agregados_adrian;81240;81240
81233;81233,EL LOLO;"Marcador 26
2024/10/18 @ 17:14:54
http://maps.google.com/?q=-34.76251777156095,-55.745491571724415";26/10/2024;agregados_adrian;81233;81233
82210;82210,PABLO PORTUARIOS;"Marcador 27
2024/10/18 @ 17:17:38
http://maps.google.com/?q=-34.742334047403375,-55.703524723649025";26/10/2024;agregados_adrian;82210;82210
82184;82184,JONNY CASTRO;"Marcador 28
2024/10/18 @ 17:19:21
http://maps.google.com/?q=-34.74169046715595,-55.7050371542573";26/10/2024;agregados_adrian;82184;82184
81198;81198, ALMACEN SIMPLE;"Marcador 29
2024/10/18 @ 17:20:57
http://maps.google.com/?q=-34.76542908766665,-55.743425935506814";26/10/2024;agregados_adrian;81198;81198
85003 ;85003 , AUTOSERVICE REINA (Parque del Plata);"Marcador 30
2024/10/18 @ 17:21:50
http://maps.google.com/?q=-34.76564447140154,-55.73087856173515";26/10/2024;agregados_adrian;85003 ;85003 
81236;81236,GITANA 2;"Marcador 31
2024/10/18 @ 17:22:27
http://maps.google.com/?q=-34.7578985664607,-55.704776644706726";26/10/2024;agregados_adrian;81236;81236
82159;82159,ROSARIO (Las Toscas );"Marcador 32
2024/10/18 @ 17:23:23
http://maps.google.com/?q=-34.758176221867124,-55.746627151966095";26/10/2024;agregados_adrian;82159;82159
82185;82185, ALMACEN NIVEKA;"Marcador 33
2024/10/18 @ 17:24:25
http://maps.google.com/?q=-34.772231306623866,-55.81985749304295";26/10/2024;agregados_adrian;82185;82185
82187;82187, ALMACEN IMPACTO;"Marcador 34
2024/10/18 @ 17:25:43
http://maps.google.com/?q=-34.76848048844,-55.82167603075504";26/10/2024;agregados_adrian;82187;82187
82175;82175,FERRETERIA DENIS (82199 MARINDIA NORTE);"Marcador 35
2024/10/18 @ 17:26:32
http://maps.google.com/?q=-34.77190522713309,-55.824617408216";26/10/2024;agregados_adrian;82175;82175
82196;82196,KIOSCO LOS ABUE;"Marcador 36
2024/10/18 @ 17:27:14
http://maps.google.com/?q=-34.73436305178214,-55.768308788537986";26/10/2024;agregados_adrian;82196;82196
81245;81245,MARANATHA;"Marcador 37
2024/10/18 @ 17:28:00
http://maps.google.com/?q=-34.76025227243236,-55.853312686085694";26/10/2024;agregados_adrian;81245;81245
82211;82211,AUTOSERVICE EL GRAPERO;"Marcador 38
2024/10/18 @ 17:29:06
http://maps.google.com/?q=-34.74322832909838,-55.76393913477659";26/10/2024;agregados_adrian;82211;82211
82201;82201,BAR HEBER;"Marcador 39
2024/10/21 @ 15:01:53
http://maps.google.com/?q=-34.743165790305135,-55.76313916593791";26/10/2024;agregados_adrian;82201;82201
81223;81223,TOKIKIOSCO ( estación atlantida) camino parque del plata;"Marcador 40
2024/10/21 @ 15:04:09
http://maps.google.com/?q=-34.7445184,-55.7577306";26/10/2024;agregados_adrian;81223;81223
81224;81224,QUIOSCO LO DE JUAN;"Marcador 41
2024/10/21 @ 15:12:41
http://maps.google.com/?q=-34.7577913,-55.7651001";26/10/2024;agregados_adrian;81224;81224
82126;82126,PUESTO GABRIEL;"Marcador 42
2024/10/21 @ 15:28:39
http://maps.google.com/?q=-34.75120590725364,-55.71392968297005";26/10/2024;agregados_adrian;82126;82126
82208;82208,RICARDO MADRUGA;"Marcador 43
2024/10/21 @ 15:30:38
http://maps.google.com/?q=-34.7709749020446,-55.816115476191044";26/10/2024;agregados_adrian;82208;82208
81215;**81215,** **MINIMARKET FERRETERIA**;"Marcador 44
2024/10/21 @ 15:45:41
http://maps.google.com/?q=-34.77344004781984,-55.73972247540951";26/10/2024;agregados_adrian;81215;81215
81176;81176,ALMACEN MARIELA (LAS TOSCAS NORTE);"Marcador 46
2024/10/21 @ 15:48:16
http://maps.google.com/?q=-34.76158541257827,-55.745970010757446";26/10/2024;agregados_adrian;81176;81176
81151;81151,KIOSCO LA PETROLERA (Atlántida);"Marcador 47
2024/10/22 @ 15:03:10
http://maps.google.com/?q=-34.77301868413632,-55.76315358281136";26/10/2024;agregados_adrian;81151;81151
81147;81147,LO CIPRESES,GUILLERMINA. Informar situación;"Marcador 48
2024/10/22 @ 15:04:42
http://maps.google.com/?q=-34.7715433434871,-55.748730674386024";26/10/2024;agregados_adrian;81147;81147
81243;81243, MERCADO ATLANTIDA. Cobrar factura viejas;"Marcador 49
2024/10/22 @ 15:06:22
http://maps.google.com/?q=-34.776287088010385,-55.76262284070253";26/10/2024;agregados_adrian;81243;81243
81226;81226, MARIANELA GARCIA. Informar situación cobranza;"Marcador 51
2024/10/22 @ 15:08:33
http://maps.google.com/?q=-34.76784620077099,-55.76622705906629";26/10/2024;agregados_adrian;81226;81226
41911;41911,FELISOR S.A.PIEDRA LISA;"Marcador 52
2024/10/22 @ 15:12:07
http://maps.google.com/?q=-34.76265328637707,-55.76451748609543";26/10/2024;agregados_adrian;41911;41911
41972;41972,MARSELLA e HIJOS;"Marcador 53
2024/10/22 @ 15:13:31
http://maps.google.com/?q=-34.74979326152253,-55.76815892010927";26/10/2024;agregados_adrian;41972;41972
81149;81149, KIOSCO LA CHULA;"Marcador 54
2024/10/22 @ 15:14:22
http://maps.google.com/?q=-34.773899414403786,-55.74987161904573";26/10/2024;agregados_adrian;81149;81149
82014;82014, Almacen graciela ( las toscas norte. eduardo), Visita cada dos meses;"Marcador 55
2024/10/22 @ 15:15:56
http://maps.google.com/?q=-34.76329284720201,-55.751244574785225";26/10/2024;agregados_adrian;82014;82014
81146;"***NOMBRE***; ...81146, ...........Pañalera Marial...............;: (MARINDIA SUR)";"Marcador 56
2024/10/22 @ 15:17:41
http://maps.google.com/?q=-34.773270125599815,-55.828960239887245";26/10/2024;agregados_adrian;81146;
81188;81188,CERVECERIA DRUIDAS (Marindia);"Marcador 57
2024/10/22 @ 15:18:31
http://maps.google.com/?q=-34.77296057433533,-55.826812125742435";26/10/2024;agregados_adrian;81188;81188
81156;81156,EL MERCADITO,Marindia;"Marcador 58
2024/10/22 @ 15:20:14
http://maps.google.com/?q=-34.773488518275514,-55.83014778792858";26/10/2024;agregados_adrian;81156;81156
81165;KIOSCO EL GRILLO, Visitar (supervisado por Ricardo);"Marcador 59
2024/10/22 @ 15:23:36
http://maps.google.com/?q=-34.76913405027044,-55.818241462111466";26/10/2024;agregados_adrian;81165;81165
85022;85022, Almacen Brillante (Salinas Norte), Visita;"Marcador 60
2024/10/22 @ 15:27:20
http://maps.google.com/?q=-34.764455171588494,-55.837090350687504";26/10/2024;agregados_adrian;85022;85022
81220;81220,ROMINA,EL TREBOL (SALINAS NORTE);"Marcador 22
2024/10/17 @ 12:12:07
http://maps.google.com/?q=-34.77601610292458,-55.84819469600916";26/10/2024;agregados_adrian;81220;81220
81150;81150,SALON FRIDA (Las Toscas);"Marcador 61
2024/10/22 @ 15:48:32
http://maps.google.com/?q=-34.76993880829684,-55.72931449860334";26/10/2024;agregados_adrian;81150;81150
81057;81057, BAR 35 (Parque del Plata);"Marcador 62
2024/10/22 @ 15:49:47
http://maps.google.com/?q=-34.75398925551329,-55.72222374379635";26/10/2024;agregados_adrian;81057;81057
81204;81204, CLAUDIA MARTINEZ UTOPÍA (Parque del Plata Sur);"Marcador 64
2024/10/22 @ 15:52:59
http://maps.google.com/?q=-34.761150767185136,-55.709048733115196";26/10/2024;agregados_adrian;81204;81204
11891;11891, Guzman Evora:;"Marcador 65
2024/10/22 @ 15:55:57
http://maps.google.com/?q=-34.741392919798855,-55.712142996489995";26/10/2024;agregados_adrian;11891;11891
80191;80191,NAMASTE (3% dto);"Marcador 67
2024/10/23 @ 09:54:35
http://maps.google.com/?q=-34.50207925267639,-55.5650744587183";26/10/2024;agregados_adrian;80191;80191
80164;80164,PROV.MARITA ( 1.5% dto );"Marcador 68
2024/10/23 @ 09:56:18
http://maps.google.com/?q=-34.4950122,-55.5579191";26/10/2024;agregados_adrian;80164;80164
80242;80242,LA DESPENSA ( a la vuelta de Adriana y Oscar);"Marcador 69
2024/10/23 @ 11:41:28
http://maps.google.com/?q=-34.493580846162885,-55.56884229183197";26/10/2024;agregados_adrian;80242;80242
23450;23450, ROSARIO LEMAS MENTA Y ALVAREZ;"Marcador 202
lat/lng: (-34.75915,-55.67704)
http://maps.google.com/?q=-34.75915186470984,-55.67704427987337";26/10/2024;agregados_adrian;23450;23450
80186;80186,ALMACEN MIS HIJOS, (Bello Horizonte);"Marcador 47
2024/10/24 @ 11:17:47
http://maps.google.com/?q=-34.76273619268945,-55.641547590494156";26/10/2024;agregados_adrian;80186;80186
80262;80262,VERDULERIA LA FAMILIA;"Marcador 48
2024/10/24 @ 12:06:29
http://maps.google.com/?q=-34.6840677,-55.7038075";26/10/2024;agregados_adrian;80262;80262
80263;80263,SALON EL CHINO;"Marcador 50
2024/10/24 @ 12:43:29
http://maps.google.com/?q=-34.68437213070302,-55.70525717974649";26/10/2024;agregados_adrian;80263;80263
80220;80220,GUSTAVO PANUNCIO (ESTACION FLORESTA);"Marcador 52
2024/10/24 @ 13:06:38
http://maps.google.com/?q=-34.73620417778965,-55.68352355476185";26/10/2024;agregados_adrian;80220;80220
80265;80265, LOS AVILEÑOS;"Marcador 53
2024/10/24 @ 13:31:11
http://maps.google.com/?q=-34.769547799999984,-55.61391449999999";26/10/2024;agregados_adrian;80265;80265
80245;80245,LO DE GRACE (GUAZUVIRA);"Marcador 54
2024/10/24 @ 13:42:36
http://maps.google.com/?q=-34.75974021969964,-55.61246909201145";26/10/2024;agregados_adrian;80245;80245
80266;"***NOMBRE***; ...80266, .KIOSCO FLORESTA .;:";"Marcador 56
2024/10/24 @ 14:14:38
http://maps.google.com/?q=-34.75642260136175,-55.67223679924319";26/10/2024;agregados_adrian;80266;80266
22980;22980,ABIDUL (MEDIATO);"Marcador 58
2024/10/24 @ 14:47:23
http://maps.google.com/?q=-34.7496518,-55.701741";26/10/2024;agregados_adrian;22980;22980
13006;13006, LA FAMILIA SALINAS;http://maps.google.com/?q=-34.76463557829022,-55.84700245410204;16/10/2024;agregados_adrian;13006;13006
82160;82160, LOS PEDRENSES;http://maps.google.com/?q=-34.764960200000004,-55.85047349999999;16/10/2024;agregados_adrian;82160;82160
12920;12920,Entregar Pilecord;https://maps.app.goo.gl/YFZK9vEkaZbNyrxy5?g_st=ac;16/10/2024;agregados_adrian;12920;12920
80303;80303, LA PALMERA;http://maps.google.com/?q=-34.737352,-55.686760;16/10/2024;agregados_adrian;80303;80303
82157;82157,LA Esperanza (Estación Atlantida);http://maps.google.com/?q=-34.733856,-55.769263;16/10/2024;agregados_adrian;82157;82157
82191;82191,EL GALPON;http://maps.google.com/?q=-34.7569682,-55.7669689;16/10/2024;agregados_adrian;82191;82191
80278;LO DE ALBA;http://maps.google.com/?q=-34.762457,-55.592556;14/10/2024;agregados_adrian;80278;
80279;Los paraisos;http://maps.google.com/?q=-34.790176, -55.503398;14/10/2024;agregados_adrian;80279;80279
80280;4 Soles;http://maps.google.com/?q=-34.790882, -55.477888;14/10/2024;agregados_adrian;80280;80280
80281;PLAN B;http://maps.google.com/?q=-34.686090, -55.705386;14/10/2024;agregados_adrian;80281;80281
80282;GAUDEO SRL;http://maps.google.com/?q=-34.683972, -55.704640;14/10/2024;agregados_adrian;80282;80282
80283;ALMACEN EL ONCE;http://maps.google.com/?q=-34.771273, -55.757842;14/10/2024;agregados_adrian;80283;80283
80284;Almacén La Chica;http://maps.google.com/?q=-34.489576, -55.555117;14/10/2024;agregados_adrian;80284;80284
80285;Almacén Belén y Deborah;http://maps.google.com/?q=-34.788879, -55.445726;14/10/2024;agregados_adrian;80285;80285
80286;Minimercado;http://maps.google.com/?q=-34.772887, -55.826571;14/10/2024;agregados_adrian;80286;80286
80287;LOS NIETOS;http://maps.google.com/?q=-34.774755, -55.585442;14/10/2024;agregados_adrian;80287;80287
80288;PRESTO LARAGNOU;http://maps.google.com/?q=-34.771180, -55.579248;14/10/2024;agregados_adrian;80288;80288
80289;Valeria Gómez;http://maps.google.com/?q=-34.792579, -55.857373;14/10/2024;agregados_adrian;80289;80289
80290;Parador Toto;http://maps.google.com/?q=-34.771252, -55.756427;14/10/2024;agregados_adrian;80290;80290
80291;RINCON NATURAL;http://maps.google.com/?q=-34.487615, -55.629860;14/10/2024;agregados_adrian;80291;80291
80292;AGROPECUARIA;http://maps.google.com/?q=-34.769391, -55.614525;14/10/2024;agregados_adrian;80292;80292
80293;Bar El Rebote;http://maps.google.com/?q=-34.494904, -55.562579;14/10/2024;agregados_adrian;80293;80293
80294;SUPER CARNE;http://maps.google.com/?q=-34.485128, -55.631616;14/10/2024;agregados_adrian;80294;80294
80295;Prueba srl;http://maps.google.com/?q=-34.478366, -54.330203;14/10/2024;agregados_adrian;80295;
80296;Lo de Clau;http://maps.google.com/?q=-34.768829, -55.574145;14/10/2024;agregados_adrian;80296;80296
80298;La tefi cocina;http://maps.google.com/?q=-34.792861, -55.862439;14/10/2024;agregados_adrian;80298;80298
80299;Mercado Segade Flavia Silvana;http://maps.google.com/?q=-34.773385, -55.739736;14/10/2024;agregados_adrian;80299;80299
80300;Vivians Cardozo;http://maps.google.com/?q=-34.753734, -55.708611;14/10/2024;agregados_adrian;80300;
80301;Guerrero Batista Santiago Elias;http://maps.google.com/?q=-34.773086, -55.761351;14/10/2024;agregados_adrian;80301;80301
80302;Pamela Sosa;http://maps.google.com/?q=-34.755609, -55.725230;14/10/2024;agregados_adrian;80302;80302
80304;KIOSCO 29;http://maps.google.com/?q=-34.743670, -55.765922;14/10/2024;agregados_adrian;80304;80304
80305;Provisión Luciano;http://maps.google.com/?q=-34.733837, -55.769107;14/10/2024;agregados_adrian;82157;82157
80306;Ariana Mandingorra;http://maps.google.com/?q=-34.761724, -55.727543;14/10/2024;agregados_adrian;80306;80306
80307;Aloha;http://maps.google.com/?q=-34.765850, -55.748945;14/10/2024;agregados_adrian;80307;80307
80308;Los nietos comida al paso;http://maps.google.com/?q=-34.757969, -55.732038;14/10/2024;agregados_adrian;80308;80308
100006;CASA LAUTARO;https://maps.app.goo.gl/RdKDZfi5WDGPKMkt9;5/9/2024;agregados_adrian;100006;
41846;41846, WALTER TRUJILLO;https://www.google.com/maps/place/Club+La+Chinchilla/@-34.7243259,-55.8375685,12z/data=!4m10!1m2!2m1!1sRUTA+11+KM.+160.000%09!3m6!1s0x95a01e4158e0e18d:0x1898f2265d7564dd!8m2!3d-34.7138907!4d-55.7846177!15sChNSVVRBIDExIEtNLiAxNjAuMDAwkgELc29jaWFsX2NsdWLgAQA!16s%2Fg%2F11dxfmhls0?entry=ttu;16/8/2024;comentarios;41846;41846
