PROYECTO;TAREA;DESCRIPCION;SECCION;FECHA;PERIODICIDAD;ORDEN;RESPONSABLE;CODPROY;CODTAREA;ETIQUETA;CODIGO;TIPO;ORDEN;CODCLI2;1;
Ruta Dario Martes;22644, PAULA JUAREZ ( Kiosco Rotonda floresta);??/// http://maps.google.com/?q=-34.75438427180358,-55.67569009959698;;2025-02-04T03:00:00.000Z;cada martes;1;26988122;2236031612;3898369834;;22644;Ruta;1;22644;;
Ruta Dario Martes;11975, DUNAS,PARQUE DEL PLATA NORTE (3%dto);"??????/// Marcador 134
lat/lng: (-34.74643,-55.71194)
[http://maps.google.com/?q=-34.74642711145462,-55.711940824985504](http://maps.google.com/?q=-34.74642711145462,-55.711940824985504)";;2025-02-04T03:00:00.000Z;cada martes;2;26988122;2236031612;8169918618;;11975;Ruta;1;11975;;
Ruta Dario Martes;22144, PANADERIA FLORESTA;????/// http://maps.google.com/?q=-34.754395290362,-55.674883760511;;2025-02-04T03:00:00.000Z;cada martes;3;26988122;2236031612;3898369841;;22144;Ruta;1;22144;;
Ruta Dario Martes;11868, SUPER PARQUE DEL PLATA;??/// http://maps.google.com/?q=-34.76665114879736,-55.72053730487823;;2025-02-04T03:00:00.000Z;CADA MARTES;4;26988122;2236031612;8210314434;;11868;Ruta;1;11868;;
Ruta Dario Martes;22141, NADIRAL (SUPER  BACHINO);??/// http://maps.google.com/?q=-34.759421252486774,-55.67694637924433;;2025-02-04T03:00:00.000Z;cada martes;5;26988122;2236031612;3898369909;;22141;Ruta;1;22141;;
Ruta Dario Martes;23450, ROSARIO LEMAS MENTA Y ALVAREZ;"??/// Marcador 202
lat/lng: (-34.75915,-55.67704)
http://maps.google.com/?q=-34.75915186470984,-55.67704427987337";;2025-02-04T03:00:00.000Z;cada martes;6;26988122;2236031612;5106365966;;23450;Ruta;1;23450;;
Ruta Dario Martes;22791, KIOSCO TIA ISA;????/// http://maps.google.com/?q=-34.76845873049822,-55.65431691706180;;2025-02-04T03:00:00.000Z;cada martes;7;26988122;2236031612;4204022968;;22791;Ruta;1;22791;;
Ruta Dario Martes;80186,ALMACEN MIS HIJOS, (Bello Horizonte);"??/// Marcador 47
2024/10/24 @ 11:17:47
http://maps.google.com/?q=-34.76273619268945,-55.641547590494156";;2025-02-04T03:00:00.000Z;CADA MARTES;8;26988122;2236031612;7395273941;;80186;Ruta;1;80186;;
Ruta Dario Martes;80106,ALMACEN EL GAUCHO (GUAZUVIRA NUEVO) Cerró definitivo.. solo pasar a Cobrar;??/// http://maps.google.com/?q=-34.76563290349145,-55.63648022711276;;2025-02-04T03:00:00.000Z;CADA MARTES;9;26988122;2236031612;4463136096;;80106;Ruta;1;80106;;
Ruta Dario Martes;22157, RIMISOL ( El Descubrimiento) complejo vacacional Guazuvira viejo;??????/// http://maps.google.com/?q=-34.76999554316618,-55.59803009033204;;2025-02-04T03:00:00.000Z;CADA MARTES;10;26988122;2236031612;8330259951;;22157;Ruta;1;22157;;
Ruta Dario Martes;61905, BAR SAN CONO;??/// http://maps.google.com/?q=-34.73924200624547,-55.68182598799467;;2025-02-04T03:00:00.000Z;cada martes;11;26988122;2236031612;3898369764;;61905;Ruta;1;61905;;
Ruta Dario Martes;61642, PROVISION LUCAS;??/// http://maps.google.com/?q=-34.68761541636025,-55.70274788886309;;2025-02-04T03:00:00.000Z;cada martes;12;26988122;2236031612;3898369769;;61642;Ruta;1;61642;;
Ruta Dario Martes;61731, PANADERIA LA NUEVA SOCA;??/// http://maps.google.com/?q=-34.6841342494909,-55.7017960399389;;2025-02-04T03:00:00.000Z;cada martes;13;26988122;2236031612;3898369774;;61731;Ruta;1;61731;;
Ruta Dario Martes;61428, LUCHO;??/// http://maps.google.com/?q=-34.684200968407076,-55.701396055519574;;2025-02-04T03:00:00.000Z;cada martes;14;26988122;2236031612;3898369790;;61428;Ruta;1;61428;;
Ruta Dario Martes;61767, K. FERFE;??/// http://maps.google.com/?q=-34.68412432435828,-55.69759771227836;;2025-02-04T03:00:00.000Z;cada martes;15;26988122;2236031612;3898369781;;61767;Ruta;1;61767;;
Ruta Dario Martes;61493, EVA MARRERO;;;2025-02-04T03:00:00.000Z;cada martes;16;26988122;2236031612;3898369798;;61493;Ruta;1;61493;;
